UID,Variable Name,Short Name,Scale,Domain,Concept Group,Scale Ord,Domain Ord,ConGrp Ord,Units,Effective Analytical Resolution,Description,Notes
47,wtsd_circ_ratio,Watershed Circularity,Local,Topography,Topography,4,3,5,unitless ratio (sq-m per sq-m),~1–5 sq-km (catchment-level),"Watershed circularity ratio, calculated from catchment geometry, aggregated to NHD+ catchments.",Watershed compactness (circularity). High values = more synchronous flow and steeper hydrograph; low values = delayed runoff and flatter hydrograph.
57,str_density,Stream Density,Local,Watershed,Watershed Metrics,4,4,7,meters per square meter,~1–5 sq-km (catchment-level),"Zonal median of stream length per catchment area, derived from NHD+ data.",Total stream length per unit area. Higher values indicate more dissected basins and faster hydrologic response.
58,str_flow_len_ave,Mean Flow Length,Local,Watershed,Watershed Metrics,4,4,7,meters,~1–5 sq-km (catchment-level),"Zonal median of average flow path length, derived from NHD+ data.",Average stream path length. Longer paths = slower response; shorter paths = more rapid runoff concentration.
59,str_slope,Stream Slope,Local,Watershed,Watershed Metrics,4,4,7,slope ratio (m/m),~1–5 sq-km (catchment-level),"Zonal median of stream slope (elevation drop per unit flow length), derived from NHD+ data.",Slope of main stream path. Controls runoff velocity and hydrograph steepness.
60,wtsd_relief_ratio,Relief Ratio,Local,Watershed,Watershed Metrics,4,4,7,m/m,~1–5 sq-km (catchment-level),"Relief ratio (elevation range divided by stream length), based on 10 m NED data, aggregated to NHD+ catchments.","Ratio of elevation range to main channel length. Indicates basin steepness and hydrologic energy. Higher values = flashier, more erosive flow."
1,climate_zone_kopp_geig,Climate Zone,Macroregional,Climate,Climate Patterns,1,1,1,categorical code,"~50,000–100,000 sq-km (macroregional zone level)","Dominant Köppen-Geiger climate class, aggregated to custom macroregional zones","Provides broad-scale climate context (e.g., humid continental vs. semi-arid). Useful for regional stratification."
2,phzm_zone_count,PHZM Zone Count,Macroregional,Climate,Climate Patterns,1,1,1,count,"~50,000–100,000 sq-km (macroregional zone level)","Count of unique USDA Plant Hardiness Zones, aggregated to custom macroregional zones","Reflects cold tolerance diversity; transitional zones may affect vegetation, snowmelt timing, and freeze–thaw processes."
3,phzm_zone_majority,PHZM Zone (Dominant),Macroregional,Climate,Climate Patterns,1,1,1,categorical code,"~50,000–100,000 sq-km (macroregional zone level)","Dominant USDA Plant Hardiness Zone, aggregated to custom macroregional zones",Captures dominant cold tolerance regime based on minimum winter temperatures. Relevant for snowmelt timing and freeze–thaw sensitivity.
17,frac_nlcd_cropland,Cropland Fraction,Macroregional,Land Cover,Land Cover,1,2,3,proportion [0-1],"~50,000–100,000 sq-km (macroregional zone level)","Fraction of cropland (NLCD), aggregated to custom macroregional zones","Indicates anthropogenic land use in agricultural regions. Associated with increased runoff, reduced infiltration, and higher ET demand."
18,frac_nlcd_forest,Forest Fraction,Macroregional,Land Cover,Land Cover,1,2,3,proportion [0-1],"~50,000–100,000 sq-km (macroregional zone level)","Fraction of forested land (NLCD), aggregated to custom macroregional zones",Forest cover enhances interception and storage. Typically reduces peak flows and lowers skew.
19,frac_nlcd_grassland,Grassland Fraction,Macroregional,Land Cover,Land Cover,1,2,3,proportion [0-1],"~50,000–100,000 sq-km (macroregional zone level)","Fraction of grassland (NLCD), aggregated to custom macroregional zones",Moderates evapotranspiration and infiltration rates; especially important in mixed rangeland systems.
20,frac_nlcd_urban,Urban Fraction,Macroregional,Land Cover,Land Cover,1,2,3,proportion [0-1],"~50,000–100,000 sq-km (macroregional zone level)","Fraction of urban land (NLCD), aggregated to custom macroregional zones",Urban development increases imperviousness; strongly associated with peak flow generation and positive flood skew.
29,slope_mean,Mean Slope,Macroregional,Topography,Topography,1,3,5,degrees,"~50,000–100,000 sq-km (macroregional zone level)","Mean slope (from NED), aggregated to custom macroregional zones",Captures large-scale terrain steepness; useful for distinguishing dissected uplands from broad flatlands.
30,slope_median,Median Slope,Macroregional,Topography,Topography,1,3,5,degrees,"~50,000–100,000 sq-km (macroregional zone level)","Median slope (from NED), aggregated to custom macroregional zones",Central tendency of slope; more robust to extreme values than the mean. Useful for assessing runoff dominance.
31,altitude_zone,Altitude Zone,Macroregional,Topography,Topography,1,3,5,meters,"~50,000–100,000 sq-km (macroregional zone level)","Mean elevation of gage locations, aggregated to custom macroregional zones","Captures broad elevational gradients that influence temperature, snow persistence, and hydrologic timing."
4,temp_ann_med,Annual Temp (Median),Regional,Climate,Climate Patterns,2,1,1,degrees C,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of annual mean temperature from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.","Governs evapotranspiration, freeze–thaw, and snowpack formation. Represents the baseline thermal regime."
5,prec_ann_med,Annual Precip (Median),Regional,Climate,Climate Patterns,2,1,1,mm,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of total annual precipitation from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.","Represents typical annual moisture supply; important for soil moisture availability, runoff potential, and vegetation productivity."
6,prec_ann_pct_may_aug_mean,Pct Annual Precip May–Aug (Mean),Regional,Climate,Climate Patterns,2,1,1,proportion [0-1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal mean of the percentage of annual precipitation falling May–August from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.",Characterizes warm-season water input. Useful for identifying storm-driven systems tied to convective seasonality.
7,prec_ann_pct_may_aug_med,Pct Annual Precip May–Aug (Median),Regional,Climate,Climate Patterns,2,1,1,proportion [0-1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of the percentage of annual precipitation falling May–August from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.",Captures the typical proportion of precipitation falling in the warm season—important for Great Plains hydrology.
25,ndvi_amplitude_2016_modis,NDVI Amplitude,Regional,Land Cover,Vegetation Indices,2,2,4,unitless [-1 to 1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of annual NDVI amplitude for 2016 from MODIS data, aggregated to Level II ecoregions.",Indicates the magnitude of seasonal greenness change. Reflects vigor and seasonality of vegetation response to climate.
26,ndvi_iqr_2016_modis,NDVI IQR,Regional,Land Cover,Vegetation Indices,2,2,4,unitless [-1 to 1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of the interquartile range (IQR) of NDVI values for 2016 from MODIS data, aggregated to Level II ecoregions.","Measures seasonal variability in greenness. IQR is robust to outliers, making it effective in mosaic or transitional landscapes."
27,ndvi_len_grow_seas_2016_modis,Growing Season Length,Regional,Land Cover,Vegetation Indices,2,2,4,days,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of the length of the 2016 growing season (NDVI-based), aggregated to Level II ecoregions.",Represents the number of growing-season days. Useful for modeling evapotranspiration and baseflow duration.
28,ndvi_seas_pk_2016_modis,Peak NDVI,Regional,Land Cover,Vegetation Indices,2,2,4,unitless [-1 to 1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median of the seasonal peak NDVI in 2016 from MODIS, aggregated to Level II ecoregions.",Captures maximum greenness during the growing season. Proxy for peak biomass or vegetative productivity.
32,slope_dist_mean,Mean Slope Distribution,Regional,Topography,Topography,2,3,5,degrees,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal mean of 10 m NED slope values, aggregated to Level II ecoregions.","Reflects average terrain steepness across ecoregions. Linked to stream energy, flow velocity, and sediment transport."
33,slope_dist_skew,Slope Skewness,Regional,Topography,Topography,2,3,5,unitless (skewness),"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal skewness of 10 m NED slope values, aggregated to Level II ecoregions.",Asymmetry of slope distribution. Highlights dominant gentle or steep terrains; useful for detecting terrain breaks.
34,slope_variability_sd,Slope Variability (StDev),Regional,Topography,Topography,2,3,5,degrees,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal standard deviation (SD) of slope values from 10 m NED data, aggregated to Level II ecoregions.",Captures terrain variability including extremes. May indicate complex topography or abrupt slope transitions.
35,slope_variability_iqr,Slope Variability (IQR),Regional,Topography,Topography,2,3,5,degrees,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal interquartile range (IQR) of 10 m NED slope values, aggregated to Level II ecoregions.","Captures slope diversity in a robust way, less sensitive to outliers. Linked to flow complexity and infiltration."
48,frac_clay,Clay Fraction,Regional,Watershed,Soil Properties,2,4,6,proportion [0-1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal modal fraction of surface soil (0–5 cm) composed of clay particles from SSURGO2, aggregated to Level II ecoregions.",Reflects soil infiltration potential — higher clay content typically leads to greater runoff generation and flashier flood responses.
49,frac_silt,Silt Fraction,Regional,Watershed,Soil Properties,2,4,6,proportion [0-1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal modal fraction of surface soil (0–5 cm) composed of silt particles from SSURGO2, aggregated to Level II ecoregions.","Represents intermediate soil texture, balancing infiltration and runoff potential."
50,frac_sand,Sand Fraction,Regional,Watershed,Soil Properties,2,4,6,proportion [0-1],"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal modal fraction of surface soil (0–5 cm) composed of sand particles from SSURGO2, aggregated to Level II ecoregions.",Reflects soil drainage capacity — higher sand content is associated with greater infiltration and slower runoff response.
53,str_order_med,Median Stream Order,Regional,Watershed,Watershed Metrics,2,4,7,Strahler order,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal median (typical) stream order within the stream network, aggregated to Level II ecoregions.",Reflects typical stream network scale — useful for understanding catchment structure and routing dynamics.
54,str_order_max,Max Stream Order,Regional,Watershed,Watershed Metrics,2,4,7,Strahler order,"~50,000–100,000 sq-km (Level II) based size and heterogeneity","Zonal maximum stream order in the network, aggregated to Level II ecoregions.",Reflects maximum stream network scale — provides context on floodplain extent and drainage complexity.
53,wtsd_area,Watershed Area,Station,Watershed,Watershed Metrics,0,4,7,watershed area (sq-km),Point-defined (gage-level metadata),"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.",used as a spatial predictor
61,longitude,Longitude,Station,Watershed,Geospatial Location,0,4,8,decimal degrees,Point-defined (gage-level metadata),"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.","Useful for capturing east-west climatic or physiographic gradients (moisture availability, storm type)."
62,latitude,Latitude,Station,Watershed,Geospatial Location,0,4,8,decimal degrees,Point-defined (gage-level metadata),"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.","Useful for capturing broad climatic gradients (e.g., temperature, seasonality)."
63,altitude,Station Altitude,Station,Watershed,Geospatial Location,0,4,8,meters,Point-defined (gage-level metadata),"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.","Influences temperature regime, snow persistence, and climatic classification."
8,prec_seas_stdev,Seasonal Precip StDev,Subregional,Climate,Climate Variability,3,1,2,mm,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Standard deviation of seasonal precip totals from PRISM 1991–2020 normals aggegated to Level III ecoregions.,Captures variability across seasons. Sensitive to outliers—useful for detecting flashiness or hydrologic irregularity.
9,prec_seas_iqr,Seasonal Precip IQR,Subregional,Climate,Climate Variability,3,1,2,mm,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",IQR (25th–75th percentile) of seasonal precip totals from PRISM 1991–2020 normals aggegated to Level III ecoregions.,Seasonality spread (middle 50%). Robust alternative to StDev for characterizing intra-annual precipitation variability.
10,prec_fall_med,Fall Precip (Median),Subregional,Climate,Climate Variability,3,1,2,mm,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Sum of zonal medians of fall monthly precip totals (Sep–Nov) from PRISM 1991–2020 normals aggegated to Level III ecoregions.,"Fall recharge, baseflow resetting; marks transition from convective to frontal systems."
11,prec_winter_med,Winter Precip (Median),Subregional,Climate,Climate Variability,3,1,2,mm,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Sum of zonal medians of winter monthly precip (Dec–Feb) from PRISM 1991–2020 normals aggegated to Level III ecoregions.,Indicates snowpack formation potential and winter water storage.
12,prec_summer_med,Summer Precip (Median),Subregional,Climate,Climate Variability,3,1,2,mm,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Sum of zonal medians of spring monthly precip (Mar–May) from PRISM 1991–2020 normals aggegated to Level III ecoregions.,Captures convective storm seasonality (flood-prone regions).
13,prec_spring_med,Spring Precip (Median),Subregional,Climate,Climate Variability,3,1,2,mm,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Sum of zonal medians of summer monthly precip (Jun–Aug) from PRISM 1991–2020 normals aggegated to Level III ecoregions.,Key springtime recharge and flood generation season; relevant to melt-transition systems and early crop needs.
21,pct_cov_by_class_modis,Land Cover % (MODIS),Subregional,Land Cover,Land Cover,3,2,3,proportion [0-1],"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity","Zonal median of percent cover of dominant land class (cropland, forest, etc.) from MODIS 2016 land coveraggegated to Level III ecoregions",Represents the dominant cover type. More interpretable than nominal class. Useful in mosaicked or fragmented landscapes.
22,lnd_use_div_ind_2016_modis,Land Use Diversity (MODIS),Subregional,Land Cover,Land Cover,3,2,3,unitless index (Shannon-Weiner),"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Normalized Shannon-Weiner Diversity Index of MODIS land classes aggegated to Level III ecoregions.,"Captures land use fragmentation, heterogeneity. May correlate with infiltration variation and complex runoff behavior."
36,roughness_index,Surface Roughness,Subregional,Topography,Topography,3,3,5,m/m (slope ratio),"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity","Zonal median of surface roughness, derived from 10 m NED, aggegated to Level III ecoregions.","Small-scale terrain heterogeneity. Linked to microrelief, runoff dispersion, ponding, and infiltration zones."
37,twi_index_mean,TWI Mean,Subregional,Topography,Topography,3,3,5,unitless index,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity","Zonal mean ofTopographic Wetness Index (TWI) values, derived from 10 m NED data, aggegated to Level III ecoregions.",Average soil moisture tendency. Combines slope and upslope contributing area.
38,twi_index_modal,TWI Modal,Subregional,Topography,Topography,3,3,5,unitless index,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Zonal mode of 10 m NED Topographic Wetness Index (TWI) values aggegated to Level III ecoregions.,Most common soil moisture potential class in catchment. Helps classify dominant runoff tendency.
39,twi_class,TWI Class,Subregional,Topography,Topography,3,3,5,class label (ordinal ID),"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity","Zonal assignment  of ordinal NED Topographic Wetness Index (TWI) classes, derived from 10 m NED, aggegated to Level III ecoregions.",Categorical version of TWI to simplify terrain–moisture interactions. Improves model interpretability.
51,soil_perm,Soil Permeability,Subregional,Watershed,Soil Properties,3,4,6,mm/h,"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Zonal median of STATSGO2 permeability values aggegated to Level III ecoregions,Rate at which water infiltrates soil. Low permeability = high runoff potential = more positive skew.
52,soil_runoff_class,Soil Runoff Class,Subregional,Watershed,Soil Properties,3,4,6,class A–D (ordinal),"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Zonal modal soil hydrologic group (A–D) from STATSGO2 aggegated to Level III ecoregions.,"USDA hydrologic group (A = high infiltration, D = high runoff). Linked to storm response class."
54,flow_accum,Flow Accumulation,Subregional,Watershed,Watershed Metrics,3,4,7,contributing area (sq-km),"~5,000–50,000 sq-km (Level III) based on ecoregion size and similarity",Zonal median of 10 m NED flow accumulation (upslope contributing area) aggegated to Level III ecoregions.,Reflects wetness accumulation potential and flooding propensity at catchment scale.
