us_l4name,status,message,timestamp
Claypan Prairie,success,NA,2025-06-17 18:16:19.600084
Northern Cross Timbers,success,NA,2025-06-17 18:29:38.164476
Eastern Cross Timbers,success,NA,2025-06-17 18:34:19.854717
Western Cross Timbers,success,NA,2025-06-17 18:45:07.336129
Grand Prairie,success,NA,2025-06-17 18:49:03.12782
Limestone Cut Plain,success,NA,2025-06-17 18:53:57.117373
Carbonate Cross Timbers,success,NA,2025-06-17 18:55:15.419223
Arbuckle Uplift,success,NA,2025-06-17 18:56:17.628618
Northwestern Cross Timbers,success,NA,2025-06-17 18:58:23.137882
Arbuckle Mountains,success,NA,2025-06-17 18:58:48.726886
Edwards Plateau Woodland,success,NA,2025-06-17 19:07:59.378167
Llano Uplift,success,NA,2025-06-17 19:09:22.787525
Balcones Canyonlands,success,NA,2025-06-17 19:14:38.831616
Semiarid Edwards Plateau,success,NA,2025-06-17 19:19:17.901358
Pine Ridge Escarpment,success,NA,2025-06-17 20:32:56.153863
Rolling Sand Plains,success,NA,2025-06-17 20:34:07.973503
Moderate Relief Plains,success,NA,2025-06-17 20:40:13.524987
Flat to Rolling Plains,success,NA,2025-06-17 20:49:19.428052
Canadian/Cimarron High Plains,success,NA,2025-06-17 20:53:46.041391
Pine Bluffs and Hills,success,NA,2025-06-17 20:54:53.563678
Sandy and Silty Tablelands,success,NA,2025-06-17 20:57:08.066573
Platte River Valley and Terraces,success,NA,2025-06-17 21:06:19.007279
Shinnery Sands,success,NA,2025-06-17 21:08:06.531164
Arid Llano Estacado,success,NA,2025-06-17 21:10:49.727024
Front Range Fans,success,NA,2025-06-17 21:12:08.335436
Glacial Lake Agassiz Basin,success,NA,2025-06-17 21:40:39.003964
Beach Ridges and Sand Deltas,success,NA,2025-06-17 21:41:56.475322
Saline Area,success,NA,2025-06-17 21:42:20.450979
Lake Agassiz Plains,success,NA,2025-06-17 21:43:17.039336
Sand Hills,success,NA,2025-06-17 22:00:00.696471
Alkaline Lakes Area,success,NA,2025-06-17 22:01:19.10949
Wet Meadow and Marsh Plain,success,NA,2025-06-17 22:03:10.23415
Lakes Area,success,NA,2025-06-17 22:07:21.953117
Pembina Escarpment,success,NA,2025-06-17 22:18:00.558691
Turtle Mountains,success,NA,2025-06-17 22:18:28.482796
Glacial Lake Basins,success,NA,2025-06-17 22:19:54.382445
Glacial Lake Deltas,success,NA,2025-06-17 22:20:24.16563
Tewaukon/Big Stone Stagnation Moraine,success,NA,2025-06-17 22:22:09.210209
End Moraine Complex,success,NA,2025-06-17 22:22:43.96789
Northern Black Prairie,success,NA,2025-06-17 22:23:41.187867
Northern Dark Brown Prairie,success,NA,2025-06-17 22:24:39.658291
Drift Plains,success,NA,2025-06-17 22:36:26.392641
Glacial Outwash,success,NA,2025-06-17 22:37:06.401791
Prairie Coteau,success,NA,2025-06-17 22:41:07.919216
Prairie Coteau Escarpment,success,NA,2025-06-17 22:44:34.146119
Big Sioux Basin,success,NA,2025-06-17 22:47:52.96302
James River Lowland,success,NA,2025-06-17 22:53:37.227263
Minnesota River Prairie,success,NA,2025-06-17 22:54:59.002742
Canadian/Cimarron Breaks,success,NA,2025-06-17 23:13:03.844907
Flat Tablelands and Valleys,success,NA,2025-06-17 23:14:32.160795
"Caprock Canyons, Badlands, and Breaks",success,NA,2025-06-17 23:23:53.299257
Semiarid Canadian Breaks,success,NA,2025-06-17 23:26:39.891791
Piedmont Plains and Tablelands,success,NA,2025-06-17 23:37:18.165354
Mesa de Maya/Black Mesa,success,NA,2025-06-17 23:39:19.528739
Purgatoire Hills and Canyons,success,NA,2025-06-17 23:42:05.807902
Pinyon-Juniper Woodlands and Savannas,success,NA,2025-06-17 23:43:33.858847
Pine-Oak Woodlands,success,NA,2025-06-17 23:44:49.401268
Foothill Grasslands,success,NA,2025-06-17 23:46:38.990408
Sandsheets,success,NA,2025-06-17 23:47:05.645273
Upper Canadian Plateau,success,NA,2025-06-17 23:49:53.830047
Canadian Canyons,success,NA,2025-06-17 23:51:36.373158
Conchas/Pecos Plains,success,NA,2025-06-17 23:53:51.158625
Central New Mexico Plains,success,NA,2025-06-17 23:56:39.156642
Pluvial Lake Basins,success,NA,2025-06-17 23:57:09.549806
Southern New Mexico Dissected Plains,success,NA,2025-06-17 23:58:09.414161
Missouri Coteau,success,NA,2025-06-18 01:12:04.905959
Collapsed Glacial Outwash,success,NA,2025-06-18 01:13:41.597777
Miissouri Coteau Slope,success,NA,2025-06-18 01:19:20.23191
Missouri Coteau Slope,success,NA,2025-06-18 01:20:30.15462
Northern Missouri Coteau,success,NA,2025-06-18 01:22:28.581361
Southern Missouri Coteau,success,NA,2025-06-18 01:25:26.414762
Southern Missouri Coteau Slope,success,NA,2025-06-18 01:27:47.533653
Ponca Plains,success,NA,2025-06-18 01:29:03.808764
Southern River Breaks,success,NA,2025-06-18 01:31:15.448502
Glaciated Dark Brown Prairie,success,NA,2025-06-18 01:37:07.808358
Glaciated Northern Grasslands,success,NA,2025-06-18 01:46:51.767049
Coteau Lakes Upland,success,NA,2025-06-18 01:47:31.649609
Sweetgrass Uplands,success,NA,2025-06-18 01:48:07.171383
Cherry Patch Moraines,success,NA,2025-06-18 01:49:38.887655
Milk River Pothole Upland,success,NA,2025-06-18 01:50:07.667453
North Central Brown Glaciated Plains,success,NA,2025-06-18 01:55:58.398984
Holt Tablelands,success,NA,2025-06-18 01:57:03.350653
Rocky Mountain Front Foothill Potholes,success,NA,2025-06-18 01:57:48.86731
Foothill Grassland,success,NA,2025-06-18 01:59:57.013678
Missouri Plateau,success,NA,2025-06-18 10:22:11.856651
Little Missouri Badlands,success,NA,2025-06-18 10:25:58.429163
River Breaks,success,NA,2025-06-18 10:33:13.508957
Forested Buttes,success,NA,2025-06-18 10:33:41.52234
Sagebrush Steppe,success,NA,2025-06-18 10:38:34.007691
Subhumid Pierre Shale Plains,success,NA,2025-06-18 10:42:35.232162
Semiarid Pierre Shale Plains,success,NA,2025-06-18 10:50:46.239056
White River Badlands,success,NA,2025-06-18 10:52:24.458202
Keya Paha Tablelands,success,NA,2025-06-18 10:56:39.253895
Moreau Prairie,success,NA,2025-06-18 11:01:06.38204
Dense Clay Prairie,success,NA,2025-06-18 11:02:52.840684
Missouri Breaks Woodland-Scrubland,success,NA,2025-06-18 11:08:07.382026
Judith Basin Grassland,success,NA,2025-06-18 11:12:06.054655
Montana Central Grasslands,success,NA,2025-06-18 11:24:22.648799
Unglaciated Montana High Plains,success,NA,2025-06-18 11:26:26.56321
Pine Scoria Hills,success,NA,2025-06-18 11:32:20.416783
Mesic Dissected Plains,success,NA,2025-06-18 11:34:32.812388
Niobrara River Breaks,success,NA,2025-06-18 11:35:55.579932
Non-calcareous Foothill Grassland,success,NA,2025-06-18 11:37:36.660556
Shield-Smith Valleys,success,NA,2025-06-18 11:39:02.776925
Limy Foothill Grassland,success,NA,2025-06-18 11:41:15.286613
Pryor-Bighorn Foothills,success,NA,2025-06-18 11:45:09.782956
Powder River Basin,success,NA,2025-06-18 11:57:04.850031
Casper Arch,success,NA,2025-06-18 11:58:27.083091
Northern Nueces Alluvial Plains,success,NA,2025-06-18 12:03:16.066076
Semiarid Edwards Bajada,success,NA,2025-06-18 12:04:03.848118
Texas-Tamaulipan Thornscrub,success,NA,2025-06-18 12:12:48.909486
Rio Grande Floodplain and Terraces,success,NA,2025-06-18 12:17:26.794037
Northern Blackland Prairie,success,NA,2025-06-18 12:45:26.168292
Southern Blackland/Fayette Prairie,success,NA,2025-06-18 12:47:44.364886
Floodplains and Low Terraces,success,NA,2025-06-18 12:49:40.995033
Northern Humid Gulf Coastal Prairies,success,NA,2025-06-19 11:42:00.251991
Southern Subhumid Gulf Coastal Prairies,success,NA,2025-06-19 11:43:37.566209
Coastal Sand Plain,success,NA,2025-06-19 11:44:14.169145
Lower Rio Grande Valley,success,NA,2025-06-19 11:44:37.949582
Lower Rio Grande Alluvial Floodplain,success,NA,2025-06-19 11:45:00.770819
Texas-Louisiana Coastal Marshes,success,NA,2025-06-19 11:46:51.865087
Mid-Coast Barrier Islands and Coastal Marshes,success,NA,2025-06-19 11:47:36.654282
Laguna Madre Barrier Islands and Coastal Marshes,success,NA,2025-06-19 11:48:04.324822
Lafayette Loess Plains,success,NA,2025-06-19 11:49:21.084143
Loess Prairies,success,NA,2025-06-19 11:51:43.644571
Des Moines Lobe,success,NA,2025-06-19 11:59:26.093735
Eastern Iowa and Minnesota Drift Plains,success,NA,2025-06-19 12:04:09.961058
Missouri Alluvial Plain,success,NA,2025-06-19 12:19:46.348726
Steeply Rolling Loess Prairies,success,NA,2025-06-19 12:24:22.654429
Rolling Loess Prairies,success,NA,2025-06-19 12:40:15.068735
Lower St. Croix and Vermillion Valleys,success,NA,2025-06-19 12:41:06.773905
Nebraska/Kansas Loess Hills,success,NA,2025-06-19 12:46:21.909555
Loess and Glacial Drift Hills,success,NA,2025-06-19 12:50:22.068884
Lower Platte Alluvial Plain,success,NA,2025-06-19 12:50:55.215943
Northeastern Nebraska Loess Hills,success,NA,2025-06-19 12:52:50.779528
Transitional Sandy Plain,success,NA,2025-06-19 12:53:32.573156
Western Loess Hills,success,NA,2025-06-19 12:55:59.706897
